id,descripcion,tipo_datos,requerido,unidad
nw_91_s,desviación típica del nº de días de velocidad del viento mayor o igual a 91 km/h en el mes/año,string,False,Nº de días
p_max_cv,coeficiente de variación de Pearson de la precipitación máxima diaria del mes/año y fecha,string,False,
p_max_max,valor máximo de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_md,media aritmética de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_min,valor mínimo de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_mn,mediana de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_n,frecuencia absoluta (nº de años con dato disponible) de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_q1,primer quintil de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_q2,segundo quintil de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_q3,tercer quintil de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_q4,cuarto quintil de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_max_s,desviación típica de la precipitación máxima diaria del mes/año y fecha,string,False,mm
p_mes_cv,coeficiente de variación de Pearson de la precipitación total mensual/anual,string,False,
p_mes_max,valor máximo de la precipitación total mensual/anual,string,False,mm
p_mes_md,media aritmética de la precipitación total mensual/anual,string,False,mm
p_mes_min,valor mínimo de la precipitación total mensual/anual,string,False,mm
p_mes_mn,mediana de la precipitación total mensual/anual,string,False,mm
p_mes_n,frecuencia absoluta (nº de años con dato disponible) de la precipitación total mensual/anual,string,False,numero de dias
p_mes_q1,primer quintil de la precipitación total mensual/anual,string,False,mm
p_mes_q2,segundo quintil de la precipitación total mensual/anual,string,False,mm
p_mes_q3,tercer quintil de la precipitación total mensual/anual,string,False,mm
p_mes_q4,cuarto quintil de la precipitación total mensual/anual,string,False,mm
p_mes_s,desviación típica de la precipitación total mensual/anual,string,False,mm
p_sol_cv,coeficiente de variación de Pearson del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,
p_sol_max,valor máximo del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_md,media aritmética del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_min,valor mínimo del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_mn,mediana del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
p_sol_n,frecuencia absoluta (nº de años con dato disponible) del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,Nº de días
p_sol_q1,primer quintil del porcentaje medio mensual de la insolación diaria frente a la insolación teórica,string,False,(%)
